x,y
4.460759815,0.812641512
3.873729795,0.714773854
3.328706798,0.623493138
2.854273729,0.543067175
2.447325725,0.472359681
2.103829253,0.410076181
1.820380836,0.354679627
1.615308896,0.296676315
1.678281780,0.174629248
1.917039162,0.142725188
2.251116098,0.130030357
2.600675421,0.117774149
2.944685976,0.101716820
3.293098933,0.084862580
3.631186529,0.067675471
4.047564193,0.044380535
4.422683847,0.023491513
4.860563808,0.004294493
5.295387641,-0.007402291
5.667576077,-0.019205530
6.083280906,-0.036183127
6.421059516,-0.054311935
6.772425100,-0.075437473
7.130910337,-0.097141424
7.489715153,-0.118724859
7.854023568,-0.140448812
8.225234703,-0.161020400
8.608884167,-0.179639639
8.997324707,-0.197074521
9.370434261,-0.214335444
9.719632553,-0.231122771
10.052097310,-0.248159392
10.384552188,-0.269235496
10.821939692,-0.305832728
11.257502244,-0.346729741
11.691289487,-0.386805556
12.122714510,-0.427259692
12.552319328,-0.468455464
12.974993409,-0.509792288
13.287871975,-0.542308549
13.594223237,-0.574006914
13.908623060,-0.601174011
14.234634407,-0.623906886
14.568282197,-0.640802383
14.900514067,-0.644753587
15.228662091,-0.634033391
15.554122601,-0.609157909
15.874677972,-0.566451380
16.192308813,-0.504873744
16.503845119,-0.424701619
16.809014799,-0.318597195
17.192289355,-0.136260713
17.546590446,0.091865051
17.792713958,0.292801215
18.016707332,0.512277807
18.220982265,0.748777233
18.404976938,1.003278518
18.567804279,1.272936067
18.703994896,1.555740210
18.832473188,1.944479476
18.907948975,2.336216571
18.933633210,2.707855175
18.915219757,3.069137854
18.860329228,3.428707783
18.768326997,3.782445605
18.638730528,4.125996247
18.478627870,4.469180542
18.294973281,4.822393476
18.087987378,5.178775036
17.857423554,5.535479910
17.612873383,5.879468025
17.363790371,6.195864562
17.110843857,6.492470516
16.855735102,6.773338091
16.602183912,7.044658895
16.355094837,7.311806282
16.109809216,7.582780576
15.862873457,7.865696237
15.612269477,8.165527685
15.355164474,8.488973556
15.101702870,8.822233778
14.916344902,9.075342015
14.738008737,9.326438205
14.557860064,9.587947252
14.319516151,9.946713392
14.089735261,10.310185574
13.880230338,10.662158746
13.691103776,11.007995129
13.523709342,11.352647140
13.374307905,11.694550070
13.241462255,12.032758932
13.113415613,12.368518288
12.977757149,12.703161529
12.836874637,13.035242788
12.691101040,13.362737952
12.539895460,13.689948843
12.383436586,14.019365926
12.217618092,14.359525429
12.039222898,14.719729934
11.850879793,15.084993211
11.702722726,15.359925990
11.551169148,15.629382441
11.391583699,15.892373295
11.223665653,16.146398565
11.047576298,16.392533970
10.856436444,16.633502683
10.580194741,16.938951325
10.282706924,17.222641164
9.972429730,17.478475473
9.649408978,17.685861192
9.311983945,17.823236787
8.969379025,17.901328826
8.630216254,17.923597473
8.296737054,17.910480348
7.974661868,17.884001057
7.652198920,17.837686243
7.316574194,17.768652261
6.979654849,17.678209271
6.652096849,17.566054121
6.329027810,17.438984086
6.010843247,17.301953803
5.677133621,17.165073910
5.305554211,17.039060225
4.907394352,16.925373046
4.487377682,16.827286665
4.060658647,16.744687853
3.642519833,16.675160606
3.236290885,16.635641593
2.848792480,16.643023496
2.475504798,16.695490446
2.113369035,16.795168736
1.761493171,16.936349079
1.418870458,17.114054588
1.083305419,17.326817149
0.752375324,17.571935204
0.437378304,17.841022892
0.218361527,18.057680703
0.011625340,18.280429246
-0.202848927,18.505602774
-0.427934598,18.730937875
-0.662721436,18.956915039
-0.911933675,19.176847856
-1.176159753,19.388443901
-1.455917995,19.593097443
-1.756481170,19.789970950
-2.082547643,19.981939922
-2.428895111,20.164635119
