x,y
0.674549328,-1.209525777
0.837560256,-0.826815534
1.106367961,-0.565090328
1.478931244,-0.425549106
1.901268857,-0.362155834
2.220847492,-0.331946682
2.539608059,-0.317805260
2.857313500,-0.307786353
3.171752585,-0.298699647
3.483322006,-0.292108252
3.794684270,-0.283924398
4.200701549,-0.267341635
4.584343798,-0.252682782
4.926105804,-0.247059716
5.240638169,-0.250192195
5.661913748,-0.271373250
5.989196766,-0.285559056
6.310094934,-0.292968095
6.568156173,-0.304505817
6.868947763,-0.326031242
7.230792344,-0.361035900
7.629058092,-0.415450293
8.042484242,-0.495947366
8.455922420,-0.602169060
8.850452060,-0.737095913
9.226436075,-0.888205982
9.579841317,-1.042572209
9.915901537,-1.206063671
10.237923157,-1.383799663
10.551945798,-1.567137117
10.863453783,-1.747647676
11.178659079,-1.928863656
11.504278408,-2.113449666
11.843035221,-2.298703360
12.198935522,-2.485078386
12.572274589,-2.657017817
12.967443352,-2.799779847
13.365039774,-2.908882461
13.745432249,-2.975589540
14.114006674,-3.009559213
14.470521571,-3.018939946
14.828171933,-3.003030896
15.202051433,-2.962198605
15.580307807,-2.897757617
15.953644570,-2.809351992
16.322515328,-2.707389939
16.685966321,-2.603100981
17.043446895,-2.491717654
17.394785104,-2.371700848
17.736496709,-2.236165377
18.064897626,-2.079811898
18.380937589,-1.892052891
18.685027936,-1.659541352
18.976437541,-1.392239616
19.253913647,-1.095431349
19.520813927,-0.782590646
19.780739541,-0.469124369
20.031231443,-0.148935307
20.271279396,0.180466836
20.496019668,0.523950110
20.699718834,0.885448744
20.881020327,1.257963523
21.003997077,1.544758553
21.114049216,1.832803547
21.213187448,2.128866940
21.300148492,2.432902841
21.376006158,2.744343510
21.441174198,3.058889217
21.495909485,3.375217774
21.539927858,3.694031012
21.572586783,4.014220687
21.592912231,4.336366094
21.602120188,4.659313702
21.603035945,4.979132548
21.596741552,5.294767833
21.582406374,5.607025374
21.558327732,5.927170795
21.510724037,6.360938701
21.442299623,6.797776784
21.351116773,7.226298377
21.239782920,7.644629128
21.111987577,8.050905102
20.958767305,8.449504700
20.771821922,8.844684255
20.559993612,9.222506799
20.388637938,9.489689588
20.208692623,9.741615286
20.013169104,9.989826261
19.800443792,10.235858319
19.572320378,10.478004015
19.332860195,10.711642719
19.082615479,10.934469190
18.821880800,11.148535626
18.554237331,11.356452253
18.280709732,11.562066340
18.000833102,11.760572222
17.716042975,11.940907599
17.427530465,12.099976545
17.134009930,12.239232577
16.832994865,12.354723886
16.522473747,12.443682252
16.204648328,12.508908810
15.883542547,12.555066457
15.559118084,12.585332958
15.232482899,12.596399708
14.909160931,12.582411645
14.589368682,12.540006946
14.274308651,12.472424976
13.971171321,12.384081040
13.682581693,12.274221303
13.406482899,12.144866549
13.133106632,11.998173671
12.778847520,11.780730993
12.437544597,11.536385588
12.116165476,11.270672924
11.809512611,10.985665787
11.511426351,10.682333696
11.220584350,10.366133678
10.934698533,10.041765544
10.653256380,9.714844413
10.376961564,9.393507346
10.106219048,9.079213019
9.903918910,8.845140916
9.705286899,8.617049576
9.495317425,8.382458273
9.200557840,8.064324343
8.890260534,7.748888565
8.569763045,7.449188275
8.247860403,7.179727334
7.933845292,6.957358438
7.620066958,6.770568315
7.299844199,6.611560306
6.976498526,6.475762965
6.650846175,6.356088106
6.331182335,6.259937293
6.027275891,6.194167115
5.731375217,6.154275343
5.437948306,6.135658209
5.144334894,6.145151204
4.848168863,6.187285696
4.542327735,6.271305761
4.217958605,6.409154476
3.881882206,6.590120939
3.536885891,6.807362362
3.197254014,7.050729251
2.878366228,7.308448062
2.576931110,7.583718458
2.294818808,7.879037589
2.017776975,8.186716532
1.731162168,8.500845097
1.439534724,8.813220315
1.144335596,9.114282874
0.848985988,9.405843847
0.557615500,9.687430238
0.267036223,9.962391382
-0.025355509,10.234158069
-0.318518672,10.501362716
-0.610804756,10.762921656
-0.908100390,11.020640311
-1.215833647,11.276296617
-1.535214897,11.529188219
-1.869056347,11.779375877
-2.213483195,12.024278090
-2.564799516,12.261552724
-2.924919767,12.490019401
-3.294776634,12.708386649
-3.676008145,12.914739878
-4.068145283,13.105784782
-4.468666023,13.282402019
-4.777345828,13.409721872
-5.087563422,13.528771667
-5.407843008,13.637379499
-5.740104842,13.733533366
